x1 y1 label
-1200 300 Plane_001
manDist eucDist label
300.0 223.6 SFO
400.0 400.0 SEA
500.0 360.6 JAC
800.0 632.5 SLC
1400.0 1077.0 MSP
1000.0 1000.0 JAC
600.0 600.0 LAX
1000.0 707.1 LAS
1300.0 984.9 DEN
1600.0 1131.4 PHX
1800.0 1341.6 DFW
1500.0 1315.3 ORD
1700.0 1513.3 DTW
2300.0 1941.6 EWR
2500.0 2137.8 JFK
2300.0 2109.5 CLT
1900.0 1552.4 STL
2400.0 1838.5 ATL
3000.0 2284.7 MCO
3300.0 2459.7 MIA

x1 y1 label
-1100.0 500.0 Plane_002
manDist eucDist label
600.0 447.2 SFO
300.0 223.6 SEA
200.0 200.0 JAC
900.0 640.3 SLC
1100.0 922.0 MSP
1100.0 922.0 JAC
900.0 806.2 LAX
1100.0 806.2 LAS
1400.0 1000.0 DEN
1700.0 1220.7 PHX
1900.0 1360.1 DFW
1200.0 1200.0 ORD
1400.0 1400.0 DTW
2000.0 1811.1 EWR
2200.0 2010.0 JFK
2400.0 2039.6 CLT
2000.0 1523.2 STL
2500.0 1835.8 ATL
3100.0 2282.5 MCO
3400.0 2469.8 MIA

x1 y1 label
-800.0 200.0 Plane_003
manDist eucDist label
600.0 509.9 SFO
900.0 640.3 SEA
400.0 316.2 JAC
300.0 223.6 SLC
1100.0 781.0 MSP
700.0 608.3 JAC
900.0 640.3 LAX
500.0 412.3 LAS
800.0 583.1 DEN
1100.0 806.2 PHX
1300.0 943.4 DFW
1200.0 948.7 ORD
1400.0 1140.2 DTW
2000.0 1581.1 EWR
2200.0 1772.0 JFK
1800.0 1702.9 CLT
1400.0 1140.2 STL
1900.0 1431.8 ATL
2500.0 1878.8 MCO
2800.0 2059.1 MIA

x1 y1 label
-400.0 600.0 Plane_004
manDist eucDist label
1400.0 1029.6 SFO
900.0 806.2 SEA
600.0 509.9 JAC
700.0 538.5 SLC
300.0 223.6 MSP
500.0 360.6 JAC
1700.0 1204.2 LAX
1100.0 854.4 LAS
800.0 707.1 DEN
1100.0 1100.0 PHX
1300.0 984.9 DFW
600.0 509.9 ORD
800.0 707.1 DTW
1200.0 1104.5 EWR
1400.0 1303.8 JFK
1800.0 1392.8 CLT
1400.0 989.9 STL
1900.0 1345.4 ATL
2500.0 1769.2 MCO
2800.0 1979.9 MIA

x1 y1 label
-1100.0 -100.0 Plane_005
manDist eucDist label
400.0 282.8 SFO
900.0 806.2 SEA
800.0 632.5 JAC
700.0 538.5 SLC
1700.0 1204.2 MSP
1300.0 984.9 JAC
300.0 223.6 LAX
500.0 412.3 LAS
800.0 800.0 DEN
1100.0 806.2 PHX
1300.0 1118.0 DFW
1800.0 1341.6 ORD
2000.0 1523.2 DTW
2600.0 1969.8 EWR
2800.0 2154.1 JFK
2200.0 2010.0 CLT
1400.0 1400.0 STL
1900.0 1627.9 ATL
2500.0 2061.6 MCO
2800.0 2213.6 MIA

x1 y1 label
-800.0 -400.0 Plane_006
manDist eucDist label
1000.0 707.1 SFO
1500.0 1170.5 SEA
1000.0 905.5 JAC
700.0 538.5 SLC
1700.0 1253.0 MSP
1300.0 922.0 JAC
500.0 412.3 LAX
300.0 223.6 LAS
800.0 583.1 DEN
500.0 412.3 PHX
900.0 806.2 DFW
1800.0 1272.8 ORD
2000.0 1421.3 DTW
2600.0 1860.1 EWR
2800.0 2024.8 JFK
2200.0 1772.0 CLT
1400.0 1140.2 STL
1300.0 1300.0 ATL
1900.0 1711.7 MCO
2200.0 1843.9 MIA

x1 y1 label
-500.0 -600.0 Plane_007
manDist eucDist label
1500.0 1063.0 SFO
2000.0 1476.5 SEA
1500.0 1170.5 JAC
800.0 707.1 SLC
1600.0 1334.2 MSP
1200.0 948.7 JAC
1000.0 761.6 LAX
600.0 447.2 LAS
700.0 538.5 DEN
200.0 141.4 PHX
800.0 583.1 DFW
1700.0 1253.0 ORD
1900.0 1360.1 DTW
2500.0 1769.2 EWR
2700.0 1910.5 JFK
2100.0 1565.2 CLT
1300.0 943.4 STL
1200.0 1019.8 ATL
1400.0 1400.0 MCO
1700.0 1513.3 MIA

x1 y1 label
200.0 100.0 Plane_008
manDist eucDist label
1500.0 1500.0 SFO
2000.0 1523.2 SEA
1500.0 1170.5 JAC
800.0 800.0 SLC
1000.0 721.1 MSP
600.0 447.2 JAC
1800.0 1456.0 LAX
1200.0 948.7 LAS
700.0 538.5 DEN
1200.0 848.5 PHX
600.0 447.2 DFW
500.0 412.3 ORD
500.0 412.3 DTW
1100.0 781.0 EWR
1300.0 922.0 JFK
700.0 700.0 CLT
300.0 223.6 STL
800.0 583.1 ATL
1400.0 989.9 MCO
1700.0 1204.2 MIA

x1 y1 label
300.0 800.0 Plane_009
manDist eucDist label
2300.0 1746.4 SFO
1600.0 1503.3 SEA
1500.0 1236.9 JAC
1600.0 1140.2 SLC
600.0 509.9 MSP
1000.0 707.1 JAC
2600.0 1860.1 LAX
2000.0 1414.2 LAS
1500.0 1081.7 DEN
2000.0 1476.5 PHX
1400.0 1140.2 DFW
500.0 360.6 ORD
300.0 300.0 DTW
500.0 412.3 EWR
700.0 608.3 JFK
1300.0 922.0 CLT
900.0 900.0 STL
1400.0 1216.6 ATL
2000.0 1523.2 MCO
2300.0 1746.4 MIA

x1 y1 label
700.0 100.0 Plane_010
manDist eucDist label
2000.0 2000.0 SFO
2500.0 1992.5 SEA
2000.0 1649.2 JAC
1300.0 1300.0 SLC
1500.0 1081.7 MSP
1100.0 922.0 JAC
2300.0 1941.6 LAX
1700.0 1431.8 LAS
1200.0 1019.8 DEN
1700.0 1253.0 PHX
1100.0 806.2 DFW
1000.0 721.1 ORD
800.0 565.7 DTW
600.0 600.0 EWR
800.0 632.5 JFK
200.0 200.0 CLT
600.0 447.2 STL
700.0 538.5 ATL
900.0 728.0 MCO
1200.0 948.7 MIA

x1 y1 label
900.0 400.0 Plane_011
manDist eucDist label
2500.0 2220.4 SFO
2400.0 2121.3 SEA
1900.0 1802.8 JAC
1800.0 1529.7 SLC
1400.0 1140.2 MSP
1200.0 1104.5 JAC
2800.0 2213.6 LAX
2200.0 1708.8 LAS
1700.0 1300.0 DEN
2200.0 1581.1 PHX
1600.0 1140.2 DFW
900.0 806.2 ORD
700.0 608.3 DTW
500.0 360.6 EWR
300.0 300.0 JFK
300.0 300.0 CLT
1100.0 781.0 STL
1200.0 894.4 ATL
1000.0 1000.0 MCO
1300.0 1204.2 MIA

x1 y1 label
400.0 -600.0 Plane_012
manDist eucDist label
2400.0 1838.5 SFO
2900.0 2061.6 SEA
2400.0 1702.9 JAC
1700.0 1220.7 SLC
1900.0 1431.8 MSP
1500.0 1081.7 JAC
1900.0 1627.9 LAX
1500.0 1170.5 LAS
1200.0 860.2 DEN
900.0 806.2 PHX
700.0 500.0 DFW
1400.0 1140.2 ORD
1200.0 1104.5 DTW
1600.0 1334.2 EWR
1800.0 1392.8 JFK
1200.0 860.2 CLT
600.0 509.9 STL
300.0 223.6 ATL
500.0 500.0 MCO
800.0 632.5 MIA

x1 y1 label
800.0 -800.0 Plane_013
manDist eucDist label
3000.0 2284.7 SFO
3500.0 2500.0 SEA
3000.0 2140.1 JAC
2300.0 1664.3 SLC
2500.0 1802.8 MSP
2100.0 1486.6 JAC
2500.0 2061.6 LAX
2100.0 1615.5 LAS
1800.0 1303.8 DEN
1500.0 1236.9 PHX
1300.0 943.4 DFW
2000.0 1476.5 ORD
1800.0 1392.8 DTW
1600.0 1503.3 EWR
1600.0 1503.3 JFK
1000.0 905.5 CLT
1200.0 860.2 STL
700.0 500.0 ATL
300.0 223.6 MCO
200.0 200.0 MIA

x1 y1 label
1000.0 -300.0 Plane_014
manDist eucDist label
2700.0 2334.5 SFO
3200.0 2416.6 SEA
2700.0 2061.6 JAC
2000.0 1649.2 SLC
2200.0 1562.0 MSP
1800.0 1341.6 JAC
2200.0 2200.0 LAX
1800.0 1702.9 LAS
1500.0 1315.3 DEN
1600.0 1414.2 PHX
1000.0 1000.0 DFW
1700.0 1204.2 ORD
1500.0 1063.0 DTW
1300.0 1044.0 EWR
1100.0 1005.0 JFK
500.0 412.3 CLT
900.0 728.0 STL
600.0 509.9 ATL
400.0 316.2 MCO
500.0 500.0 MIA

